coordinate,sigma_k_over_m,L,origin_charge_lower_envelope,origin_envelope_positive
GC,0.08,3.0,0.8270990507311256,True
GC,0.08,4.0,0.7740353952643688,True
GC,0.08,6.0,0.6760541093915551,True
GC,0.08,8.0,0.5886917082084244,True
GC,0.08,12.0,0.43845838797530745,True
GC,0.08,16.0,0.2962523816458956,True
GC,0.08,24.0,-0.06526053006857657,False
GC,0.1,0.25,0.9800498831253815,True
GC,0.1,0.5,0.9564993728397451,True
GC,0.1,1.0,0.910608135535881,True
GC,0.1,2.0,0.8236647939948252,True
GC,0.1,3.0,0.7431735541073689,True
GC,0.1,4.0,0.6691252384986739,True
GC,0.1,6.0,0.5394007658559474,True
GC,0.1,8.0,0.427243615394978,True
GC,0.1,12.0,0.200022284881113,True
GC,0.1,16.0,-0.0992025543527495,False
GC,0.1,24.0,-1.0208859455664046,False
GC,0.15,0.25,0.9572168014833429,True
GC,0.15,0.5,0.9076815844661589,True
GC,0.15,1.0,0.8142174160048645,True
GC,0.15,2.0,0.6496991996123085,True
GC,0.15,3.0,0.5135507576505531,True
GC,0.15,4.0,0.39548372234011814,True
GC,0.15,6.0,0.14419186839103904,True
GC,0.15,8.0,-0.20131015892178034,False
GC,0.15,12.0,-1.2711705013375125,False
GC,0.15,16.0,-2.8481793380271183,False
GC,0.15,24.0,-7.456723340718243,False
GC,0.2,0.25,0.9282917344511641,True
GC,0.2,0.5,0.8473681059129514,True
GC,0.2,1.0,0.7014562958139496,True
GC,0.2,2.0,0.4699018140212292,True
GC,0.2,3.0,0.2734379242492847,True
GC,0.2,4.0,0.03669337287032759,True
GC,0.2,6.0,-0.6832459987659996,False
GC,0.2,8.0,-1.7624768152108183,False
GC,0.2,12.0,-4.957945773065295,False
GC,0.2,16.0,-9.485422792548768,False
GC,0.2,24.0,-22.457062431927987,False
GC,0.3,0.25,0.8589953413480613,True
GC,0.3,0.5,0.7102998301933272,True
GC,0.3,1.0,0.4744245535639242,True
GC,0.3,2.0,0.05186677560656554,True
GC,0.3,3.0,-0.64239298783236,False
GC,0.3,4.0,-1.684179450079762,False
GC,0.3,6.0,-4.764226337127978,False
GC,0.3,8.0,-9.119586745303675,False
GC,0.3,12.0,-21.575550271570652,False
GC,0.3,16.0,-38.992888651642616,False
GC,0.3,24.0,-88.68002336955485,False
GC,0.4,0.25,0.7825340734714178,True
GC,0.4,0.5,0.5726566427828668,True
GC,0.4,1.0,0.2568050276250494,True
GC,0.4,2.0,-0.7383477591155119,False
