sigma_k_over_m,mean_x_M,mean_x_C,mean_x_C_over_sigma_squared,normalization_M,normalization_C
0.02,0.0011989224637800327,0.001996612022126673,4.991530055316682,1.0,1.0
0.05,0.0074584037434449295,0.012370051000415412,4.948020400166164,1.0,1.0
0.08,0.01893313830763206,0.03117558620101018,4.8711853439078405,1.0,1.0
0.1,0.029360704457502485,0.04804385400185214,4.804385400185213,1.0,1.0
0.15,0.06445558652939351,0.10344928430838263,4.59774596926145,1.0,1.0
0.2,0.11108275134964074,0.1743277690984127,4.3581942274603165,1.0,0.9999999999999998
0.3,0.23216590089181366,0.34770856953227003,3.863428550358556,1.0000000000000002,1.0
0.4,0.38089530128001303,0.5461375757853284,3.4133598486583017,1.0,1.0
0.5,0.5489904233604972,0.7574241425582998,3.0296965702331993,1.0,1.0
