stage,KL_fermion_to_vector,KL_vector_to_fermion,min_KL,BH_necessary_events
production_1d_parent_angle,0.006204258462431881,0.006097035906649146,0.006097035906649146,263.9705484888028
decay_3d_visible_LHE,0.3394736289496563,0.18799711743752745,0.18799711743752745,8.56097122323658
delphes_3d_accepted_shape,0.2638830172726497,0.16922142194653927,0.16922142194653927,9.510840258407454
delphes_3d_full_with_lost,0.24544915294981873,0.1559913221919423,0.1559913221919423,10.317483625491287
