architecture,label,eta_max,fermion_events,vector_events,raw_D_min,estimated_bias_min,bias_corrected_D_min,ci95_low,ci95_high
full_spectrometric_3D,angles + energy,2.5,92758,91766,0.16922142194653927,0.007933507469229828,0.16128791447730945,0.15664997556510382,0.16591157429980516
direction_pair_2D,two directions,2.5,92758,91766,0.0062287072843407315,0.0015516528555937206,0.004677054428747011,0.0036200561870366665,0.005811665051630342
single_direction_1D,one direction,2.5,92758,91766,0.0012738276442316315,0.00011328413903910809,0.0011605435051925234,0.0007187523279870668,0.001639011138854288
energy_only_1D,energy only,2.5,92758,91766,0.152866426933505,0.00015109428463330743,0.1527153326488717,0.14847610055378446,0.15702879220349691
