accepted_event_budget_N,plug_in_Bayes_error,MC_standard_error,bias_corrected_D95_upper,Pinsker_lower_bound_from_D95_upper
1,0.48514999999999997,0.001580298874896771,0.0011454259594123766,0.4880342887830874
5,0.46876,0.0015775887258724943,0.0011454259594123766,0.4732438563198518
10,0.45713,0.0015748337505908363,0.0011454259594123766,0.4621610987307312
20,0.44115000000000004,0.0015700128553613822,0.0011454259594123766,0.44648771263970355
50,0.40532999999999997,0.0015524927639122832,0.0011454259594123766,0.4153896445680119
100,0.3669,0.001524030019389382,0.0011454259594123766,0.3803428878308744
200,0.31349,0.0014670081710747218,0.0011454259594123766,0.33077928913602384
