bins_per_axis,visible_categories,reference_events_per_hypothesis,fermion_acceptance,vector_acceptance,raw_full_D_fermion_to_vector,raw_full_D_vector_to_fermion,raw_full_D_min,estimated_bias_at_reference_min,bias_corrected_full_D_fermion_to_vector,bias_corrected_full_D_vector_to_fermion,bias_corrected_full_D_min,bias_corrected_D_min_ci025,bias_corrected_D_min_ci975,BH_necessary_events_point,BH_necessary_events_conservative
6,216,100000,0.92758,0.91766,0.12731669349579441,0.1076118510154,0.1076118510154,0.0008824031995235404,0.12664837329399423,0.10672944781587645,0.10672944781587645,0.10282727774586309,0.11057034902305693,15.079604976600372,14.555782148236583
8,512,100000,0.92758,0.91766,0.2221422721384853,0.13530137022905253,0.13530137022905253,0.0024995954706777124,0.21837573254460788,0.13280177475837482,0.13280177475837482,0.12867840433857392,0.13701747197120992,12.119099427416387,11.746223961658517
10,1000,100000,0.92758,0.91766,0.21728435865382764,0.14326801295056332,0.14326801295056332,0.004239265199307424,0.2155657333502404,0.1390287477512559,0.1390287477512559,0.13518883772420487,0.14306159134892438,11.576295827058988,11.249965118231582
12,1728,100000,0.92758,0.91766,0.24544915294981873,0.1559913221919423,0.1559913221919423,0.007093667528133424,0.23682053351447796,0.1488976546638089,0.1488976546638089,0.1447812962754047,0.15291247510327222,10.809021243940995,10.5252230816821
